RANK	PLAYER	TEAM	BYE
1	Antonio Brown	PIT	8
2	Odell Beckham Jr.	NYG	8
3	Julio Jones	ATL	11
4	DeAndre Hopkins	HOU	9
5	A.J	Green	CIN	9
6	Allen Robinson	JAC	5
7	Dez Bryant	DAL	7
8	Jordy Nelson	GB	4
9	Brandon Marshall	NYJ	11
10	Alshon Jeffery	CHI	9
11	Mike Evans	TB	6
12	Sammy Watkins	BUF	10
13	Brandin Cooks	NO	5
14	Amari Cooper	OAK	10
15	Demaryius Thomas	DEN	11
16	Keenan Allen	SD	11
17	T.Y	Hilton	IND	10
18	Julian Edelman	NE	9
19	Doug Baldwin	SEA	5
20	Jarvis Landry	MIA	8
21	Jeremy Maclin	KC	5
22	Randall Cobb	GB	4
23	Eric Decker	NYJ	11
24	Golden Tate	DET	10
25	Donte Moncrief	IND	10
26	Emmanuel Sanders	DEN	11
27	Kelvin Benjamin	CAR	7
28	Michael Floyd	ARI	9
29	Larry Fitzgerald	ARI	9
30	John Brown	ARI	9
31	Jordan Matthews	PHI	4
32	DeSean Jackson	WAS	9
33	Marvin Jones	DET	10
34	Allen Hurns	JAC	5
35	Michael Crabtree	OAK	10
36	DeVante Parker	MIA	8
37	Tyler Lockett	SEA	5
38	Kevin White	CHI	9
39	Sterling Shepard	NYG	8
40	Torrey Smith	SF	8
41	Stefon Diggs	MIN	6
42	Josh Gordon	CLE	13
43	Willie Snead	NO	5
44	Vincent Jackson	TB	6
45	Tavon Austin	LA	8
46	Devin Funchess	CAR	7
47	Corey Coleman	CLE	13
48	Travis Benjamin	SD	11
49	Michael Thomas	NO	5
50	Steve Smith Sr.	BAL	8
51	Phillip Dorsett	IND	10
52	Chris Hogan	NE	9
53	Tajae Sharpe	TEN	13
54	Kamar Aiken	BAL	8
55	Markus Wheaton	PIT	8
56	Will Fuller	HOU	9
57	Mohamed Sanu	ATL	11
58	Mike Wallace	BAL	8
59	Tyler Boyd	CIN	9
60	Kenny Stills	MIA	8
61	Eli Rogers	PIT	8
62	Rishard Matthews	TEN	13
63	Laquon Treadwell	MIN	6
64	Josh Doctson	WAS	9
65	Jaelen Strong	HOU	9
66	Terrelle Pryor	CLE	13
67	Charles Johnson	MIN	6
68	Sammie Coates	PIT	8
69	Nelson Agholor	PHI	4
70	Dorial Green-Beckham	PHI	4
71	Breshad Perriman	BAL	8
72	Pierre Garcon	WAS	9
73	Anquan Boldin	DET	10
74	Terrance Williams	DAL	7
75	Jamison Crowder	WAS	9
76	Kenny Britt	LA	8
77	Chris Conley	KC	5
78	Davante Adams	GB	4
79	Braxton Miller	HOU	9
80	Ted Ginn Jr.	CAR	7
81	Kendall Wright	TEN	13
82	Jermaine Kearse	SEA	5
83	Victor Cruz	NYG	8
84	Malcolm Mitchell	NE	9
85	Marqise Lee	JAC	5
86	Tyrell Williams	SD	11
87	Albert Wilson	KC	5
88	Leonte Carroo	MIA	8
89	Justin Hardy	ATL	11
90	Robert Woods	BUF	10
91	J.J	Nelson	ARI	9
92	Brandon LaFell	CIN	9
93	Rashard Higgins	CLE	13
94	Quinton Patton	SF	8
95	Cole Beasley	DAL	7
96	Seth Roberts	OAK	10
97	Ty Montgomery	GB	4
98	Danny Amendola	NE	9
99	Eddie Royal	CHI	9
100	Andrew Hawkins	CLE	13
101	Jared Abbrederis	GB	4
102	Devin Smith	NYJ	11
103	Pharoh Cooper	LA	8
104	Rashad Greene	JAC	5
105	TJ Jones	DET	10
106	Aaron Dobson	NE	9
107	Jeff Janis	GB	4
108	Adam Humphries	TB	6
109	Corey Brown	CAR	7
110	Quincy Enunwa	NYJ	11
